,time,sv,x,y,z,clock_bias,C1
0,2023-04-10 11:00:00,G02,23378.183649,9437.752754,8713.561666,-607.390958,21585726.961
1,2023-04-10 11:00:00,G05,4267.472392,25273.954461,6547.941585,-122.853775,24817443.43
2,2023-04-10 11:00:00,G11,-5621.159067,14094.057449,21806.973269,-157.821776,24067228.008
3,2023-04-10 11:00:00,G12,10169.747295,23619.702213,6546.863611,-362.181427,23965423.156
4,2023-04-10 11:00:00,G18,26108.362392,4463.345788,-2862.878452,-217.907259,23423646.758
5,2023-04-10 11:00:00,G20,-1578.679654,21627.697869,15505.717698,439.85843,24294986.016
6,2023-04-10 11:00:00,G25,15855.865717,15382.892686,14624.790678,434.512953,21133365.93
7,2023-04-10 11:00:00,G26,8215.201025,-16868.359347,18553.945836,241.815012,22574544.266
8,2023-04-10 11:00:00,G28,20823.11032,-6691.171827,15037.813635,62.391193,20788184.117
9,2023-04-10 11:00:00,G29,15283.414966,5218.746795,21048.635651,-594.884426,20452727.063
10,2023-04-10 11:00:00,G31,15157.915937,-10230.128049,19247.592257,-213.642655,21215631.234
